ID,Title,Status,"# Reviews"
2,"On the (In)Security of Loading Machine Learning Models",Accepted-Available-Functional-Reproducible,4
3,"Chorus: Secret Recovery with Ephemeral Client Committees",Accepted-Available-Functional-Reproducible,3
4,"GPUBreach: Privilege Escalation Attacks on GPUs using Rowhammer",Accepted-Available-Functional-Reproducible,3
5,"Fractal: An Operating System Designed for Microarchitecture Reverse Engineering",Accepted-Available-Functional-Reproducible,2/3
6,"NanoTag: Systems Support for Efficient Byte-Granular Overflow Detection on ARM MTE",Accepted-Available-Functional,3
7,"KeyChaser: Unveiling API Keys in Browser Extensions",Accepted-Available-Functional,3
8,"The Interplay of Effective Model Checking and Secure Processor Design: From Insights to Practice",Accepted-Available-Functional-Reproducible,3
9,"AESpoly: Symmetric-Key Cryptographic Designs Using Instruction-Level Parallelism between AES and Polynomial Hash",Accepted-Available-Functional-Reproducible,3
10,"xDup: Privacy-Preserving Deduplication for Humanitarian Organizations using Fuzzy PSI",Accepted-Available-Functional-Reproducible,2/3
11,"APEX: Accurate Parallel Expressive Homomorphic Execution for Encrypted Databases",Accepted-Available-Functional-Reproducible,4
12,"Hardware Trojans from Invisible Inversions: On the Trojanizability of Standard Cell Libraries",Submitted,3
13,On the Detectability of Active Gradient Inversion Attacks in Federated Learning,Accepted-Available-Functional,4
14,"GDDR: Greatly Disturbing DRAM Rows — Cross-Component Rowhammer Attacks from Modern GPUs",Accepted-Available-Functional,2/5
15,Hijacking Large Audio-Language Models via Context-Agnostic and Imperceptible Auditory Prompt Injection,Accepted-Available,3/4
16,"Papers, Please: A First Look at Age Verification on the Web",Accepted-Available-Functional-Reproducible,3
17,"SpecAuditor: Generating Audit Specifications for LLM-Driven Bug Detection",Accepted-Available-Functional-Reproducible,4/5
18,"Crashing Through Defenses: Exploiting Segfaults and Chaining around Intel CET",Accepted-Available-Functional-Reproducible,2/3
19,"PLATYPUS: Restricting Cross-Module Transitions to Mitigate Code-Reuse Attacks",Accepted-Available-Functional-Reproducible,3
21,Scalable Registration-Based Encryption from Lattices,Accepted-Available-Functional-Reproducible,2/3
23,Acoustic Hijacking Attacks on Gimbal-Stabilized Visual Tracking Systems,Accepted-Available-Functional,3
24,"The Person Behind the Sound: Demystifying Audio Private Attribute Profiling via Multimodal Large Language Models",Accepted-Available,3
25,"TREVEX: A Black-Box Detection Framework For Generic Transient Execution Vulnerabilities",Accepted-Available-Functional-Reproducible,3
27,"Crucible: Retrofitting Commodity CPUs with Vulnerabilities via Transparent Software Emulation",Submitted,2/3
28,"TDXRay: Microarchitectural Side-Channel Analysis of Intel TDX for Real-World Workloads",Accepted-Available-Functional-Reproducible,3
31,"RISCy Cache Coherence: Timer-Free Architectural Cache Attacks via Instruction/Data Cache Incoherence",Accepted-Available-Functional,3
32,Efficient Fuzzy Private Set Intersection from Secret-shared OPRF,Accepted-Available-Functional-Reproducible,3
33,"One Tap to Hijack Them All: A Security Analysis of the Google Fast Pair Protocol",Accepted-Available-Functional-Reproducible,3
34,"Sealing the Window: Efficient Tamper Protection for Provenance Logs",Accepted-Available-Functional-Reproducible,3
36,"It’s a Feature, Not a Bug: Secure and Auditable State Rollback for Confidential Cloud Applications",Accepted-Available-Functional,4
